id,title,url,published,modified,tags
25179,Yoga Asanas for Gas Problem: 7 Poses That May Help,https://habuild.in/habitology/asana-mudra/yoga-asanas-for-gas-problem/,2026-05-29T09:01:46,2026-06-22T09:08:27,
25178,"Yoga Asanas for Shoulder Pain: Poses, Tips, and a Routine That Builds Consistency",https://habuild.in/habitology/asana-mudra/yoga-asanas-for-shoulder-pain/,2026-05-29T09:01:40,2026-06-22T08:44:36,
25177,"Yoga Asanas for Heart Health: Benefits, Poses & How to Get Started",https://habuild.in/habitology/asana-mudra/yoga-asanas-for-heart-health/,2026-05-29T09:01:33,2026-06-22T09:08:28,
25175,"Yoga Asanas for Core Strength: Best Poses, Benefits & How to Start",https://habuild.in/habitology/asana-mudra/yoga-asanas-for-core-strength/,2026-05-29T09:01:25,2026-06-22T09:08:30,
25174,"Yoga Asanas for Knee Pain: Best Poses, Benefits & How to Get Started",https://habuild.in/habitology/asana-mudra/yoga-asanas-for-knee-pain/,2026-05-29T09:01:18,2026-06-22T09:08:32,
25173,Yoga Asanas for Beginners: 10 Foundational Poses to Start Your Practice,https://habuild.in/habitology/asana-mudra/yoga-asanas-for-beginners/,2026-05-29T09:01:11,2026-06-22T08:44:41,
25172,"When to Do Surya Namaskar: Best Time, Frequency, and What to Expect",https://habuild.in/habitology/asana-mudra/when-to-do-surya-namaskar/,2026-05-29T09:01:04,2026-06-22T08:27:49,
25073,Benefits of Surya Namaskar for Women,https://habuild.in/habitology/asana-mudra/benefits-of-surya-namaskar-for-women/,2026-05-29T08:53:02,2026-06-22T08:18:36,
25065,Types of Yoga Asanas: A Complete Guide to Yoga Poses and Their Benefits,https://habuild.in/habitology/asana-mudra/types-of-yoga-asanas/,2026-05-29T08:52:20,2026-06-22T09:08:55,
25059,"What Is Yoga Mudra? A Complete Guide to Types, Benefits & Practice",https://habuild.in/habitology/asana-mudra/what-is-yoga-mudra/,2026-05-29T08:51:40,2026-06-22T07:56:32,
25057,"What Is Yoga Asana? A Complete Guide to Poses, Benefits & Getting Started",https://habuild.in/habitology/asana-mudra/what-is-yoga-asana/,2026-05-29T08:51:26,2026-06-22T08:45:00,
25020,"Benefits of Vrikshasana (Tree Pose): Balance, Strength, and More",https://habuild.in/habitology/asana-mudra/benefits-of-vrikshasana/,2026-05-29T08:47:45,2026-06-22T08:45:11,
25019,Supta Vajrasana Benefits: Everything You Need to Know,https://habuild.in/habitology/asana-mudra/supta-vajrasana-benefits/,2026-05-29T08:47:39,2026-06-22T09:09:06,
25018,Balasana Benefits: 10 Reasons to Practise Child’s Pose Every Day,https://habuild.in/habitology/asana-mudra/balasana-benefits/,2026-05-29T08:47:32,2026-06-22T08:45:12,
25017,10 Benefits of Gomukhasana (Cow Face Pose) You Should Know,https://habuild.in/habitology/asana-mudra/gomukhasana-benefits/,2026-05-29T08:47:25,2026-06-22T08:45:14,
25016,Ustrasana Benefits: What the Camel Pose Does for Your Body and Mind,https://habuild.in/habitology/asana-mudra/ustrasana-benefits/,2026-05-29T08:47:18,2026-06-22T08:45:16,
25015,10 Benefits of Paschimottanasana You Should Know,https://habuild.in/habitology/asana-mudra/paschimottanasana-benefits/,2026-05-29T08:47:16,2026-06-22T07:48:52,
25014,Sarvangasana Benefits: 10 Reasons to Add This Pose to Your Daily Routine,https://habuild.in/habitology/asana-mudra/sarvangasana-benefits/,2026-05-29T08:47:09,2026-06-22T08:05:13,
25013,10 Benefits of Tadasana (Mountain Pose) You Should Know,https://habuild.in/habitology/asana-mudra/benefits-of-tadasana/,2026-05-29T08:47:02,2026-06-22T08:45:18,
